"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"80. Futurama";"1999–";"TV-14";8,5;"262K";"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999."
"81. Mad Men";"2007–2015";"TV-MA";8,7;"261K";"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
"82. True Blood";"2008–2014";"TV-MA";7,9;"261K";"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire."
"83. The Handmaid's Tale";"2017–2025";"TV-MA";8,4;"259K";"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
"84. Fringe";"2008–2013";"TV-14";8,4;"258K";"An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena."
"85. The Crown";"2016–2023";"TV-MA";8,6;"258K";"Follows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century."
"86. Spartacus";"2010–2013";"TV-MA";8,5;"258K";"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
"87. It's Always Sunny in Philadelphia";"2005–";"TV-MA";8,8;"253K";"Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia."
"88. Heroes";"2006–2010";"TV-14";7,5;"252K";"Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented."
"89. The X-Files";"1993–2018";"TV-14";8,6;"251K";"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
"90. Doctor Who";"2005–2022";"TV-PG";8,6;"248K";"The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth."
"91. New Girl";"2011–2018";"TV-14";7,8;"246K";"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
"92. Euphoria";"2019–";"TV-MA";8,3;"244K";"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence."
"93. Gotham";"2014–2019";"TV-14";7,8;"241K";"The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival."
"94. One Piece";"1999–";"TV-14";9;"238K";"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece."""
"95. Once Upon a Time";"2011–2018";"TV-PG";7,7;"238K";"A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed."
"96. Jessica Jones";"2015–2019";"TV-MA";7,9;"227K";"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
"97. Agents of S.H.I.E.L.D.";"2013–2020";"TV-PG";7,5;"226K";"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
"98. Downton Abbey";"2010–2015";"TV-PG";8,7;"226K";"A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century."
"99. Big Little Lies";"2017–2019";"TV-MA";8,4;"225K";"The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town."
"100. Yellowstone";"2018–";"TV-MA";8,7;"223K";"A ranching family in Montana faces off against others encroaching on their land."
"101. The End of the F***ing World";"2017–2019";"TV-MA";8;"221K";"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father."
"102. Criminal Minds";"2005–";"TV-14";8,1;"220K";"A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub."
"103. Twin Peaks";"1990–1991";"TV-MA";8,8;"216K";"An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks."
"104. The Bear";"2022–";"TV-MA";8,6;"216K";"A young chef from the fine dining world returns to Chicago to run his family's sandwich shop."
"105. Reacher";"2022–";"TV-MA";8,1;"214K";"Itinerant former military policeman Jack Reacher solves crimes and metes out his own brand of street justice. Based on the novels by Lee Child."
"106. The White Lotus";"2021–2025";"TV-MA";8;"210K";"The exploits of various guests and employees of a luxury resort over the span of a week."
"107. Invincible";"2021–";"TV-MA";8,7;"207K";"An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet."
"108. Cobra Kai";"2018–2025";"TV-14";8,5;"204K";"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
